frame,ped_id,state,ped_type,x,y,vx,vy
1,0,1,3,2.6831400394439697,1.6119049787521362,0.04141223803162575,0.03480949625372887
1,1,1,3,2.5856943130493164,1.7532787322998047,0.04018472135066986,0.034352052956819534
1,2,1,3,3.082235336303711,1.795859456062317,0.03733003884553909,0.04187546670436859
1,3,1,3,2.977753162384033,1.8570784330368042,0.0710814893245697,0.06038816645741463
1,4,1,3,2.518984317779541,1.44493567943573,0.040044188499450684,0.03467729315161705
1,5,1,3,2.8381187915802,1.9952722787857056,0.036329250782728195,0.04042891412973404
1,6,1,3,2.461894989013672,1.900933027267456,-0.003685483243316412,0.02743486501276493
1,7,1,3,2.8532516956329346,1.6053969860076904,0.042917922139167786,0.032029472291469574
1,8,1,3,2.907886505126953,38.747562408447266,0.06554944813251495,-0.051713135093450546
1,9,1,3,2.7960379123687744,38.7946662902832,0.06619909405708313,-0.0398697592318058
1,10,1,3,2.883946657180786,38.38734817504883,0.003851347602903843,-0.04796901345252991
1,11,1,3,2.7620325088500977,38.45558547973633,0.003380218520760536,-0.04699419438838959
1,12,1,3,2.6921181678771973,38.79475784301758,0.06168244034051895,-0.02765548974275589
1,13,1,3,2.8433547019958496,38.79447937011719,0.06929154694080353,-0.05385066568851471
1,14,1,3,2.7513668537139893,38.60468673706055,0.005206474103033543,-0.04736173152923584
1,15,1,3,2.7684555053710938,38.79478454589844,0.06486209481954575,-0.03940408676862717
2,0,1,3,2.683539628982544,1.5999716520309448,-0.4075409471988678,-0.164609894156456
2,1,1,3,2.5744590759277344,1.767430305480957,-0.11709189414978027,0.035590045154094696
2,2,1,3,3.166978120803833,1.7746752500534058,1.6029850244522095,-0.19520814716815948
2,3,1,3,2.9950754642486572,1.8724004030227661,1.5991407632827759,-0.20176927745342255
2,4,1,3,2.483196258544922,1.3935573101043701,-0.8608536720275879,-1.2801998853683472
2,5,1,3,2.7977702617645264,2.063363552093506,-1.0747432708740234,2.073490619659424
2,6,1,3,2.4093923568725586,1.9608644247055054,-1.4257121086120605,1.5960701704025269
2,7,1,3,2.9110069274902344,1.5397928953170776,1.7010825872421265,-1.493566632270813
2,8,1,3,3.1092875003814697,38.68164825439453,6.706482887268066,-1.8438482284545898
2,9,1,3,2.8159244060516357,38.7951545715332,1.063284158706665,-3.521563485264778e-08
2,10,1,3,2.9567761421203613,38.32788848876953,1.051834225654602,-1.791959524154663
